============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.14-s037_1
  Generated on:           Jun 02 2026  02:06:35 am
  Module:                 top_ti
  Technology libraries:   saed14rvt_tt0p8v25c 
                          saed14rvt_ss0p72v25c 
                          saed14rvt_ff0p88v25c 
  Operating conditions:   _nominal_ (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

         Instance                               Module                         Cells  Cell Area  Net Area   Total Area  Wireload     
-------------------------------------------------------------------------------------------------------------------------------------
top_ti                                                                       5591114    2862977         0      2862977    <none> (D) 
    gen_tile[163].u_tile  compute_core_ti_163                                   5313       2707         0         2707    <none> (D) 
    gen_tile[755].u_tile  compute_core_ti_755                                   5328       2707         0         2707    <none> (D) 
    gen_tile[802].u_tile  compute_core_ti_802                                   5328       2707         0         2707    <none> (D) 
    gen_tile[206].u_tile  compute_core_ti_206                                   5313       2707         0         2707    <none> (D) 
    gen_tile[864].u_tile  compute_core_ti_864                                   5328       2707         0         2707    <none> (D) 
    gen_tile[777].u_tile  compute_core_ti_777                                   5313       2707         0         2707    <none> (D) 
    gen_tile[850].u_tile  compute_core_ti_850                                   5317       2707         0         2707    <none> (D) 
    gen_tile[683].u_tile  compute_core_ti_683                                   5318       2707         0         2707    <none> (D) 
    gen_tile[507].u_tile  compute_core_ti_507                                   5328       2707         0         2707    <none> (D) 
    gen_tile[676].u_tile  compute_core_ti_676                                   5318       2707         0         2707    <none> (D) 
    gen_tile[792].u_tile  compute_core_ti_792                                   5318       2707         0         2707    <none> (D) 
    gen_tile[773].u_tile  compute_core_ti_773                                   5328       2707         0         2707    <none> (D) 
    gen_tile[436].u_tile  compute_core_ti_436                                   5318       2707         0         2707    <none> (D) 
    gen_tile[285].u_tile  compute_core_ti_285                                   5318       2707         0         2707    <none> (D) 
    gen_tile[912].u_tile  compute_core_ti_912                                   5319       2707         0         2707    <none> (D) 
    gen_tile[637].u_tile  compute_core_ti_637                                   5319       2707         0         2707    <none> (D) 
    gen_tile[576].u_tile  compute_core_ti_576                                   5327       2707         0         2707    <none> (D) 
    gen_tile[861].u_tile  compute_core_ti_861                                   5319       2707         0         2707    <none> (D) 
    gen_tile[986].u_tile  compute_core_ti_986                                   5319       2707         0         2707    <none> (D) 
    gen_tile[508].u_tile  compute_core_ti_508                                   5327       2707         0         2707    <none> (D) 
    gen_tile[456].u_tile  compute_core_ti_456                                   5327       2707         0         2707    <none> (D) 
    gen_tile[892].u_tile  compute_core_ti_892                                   5318       2707         0         2707    <none> (D) 
    gen_tile[605].u_tile  compute_core_ti_605                                   5327       2707         0         2707    <none> (D) 
    gen_tile[503].u_tile  compute_core_ti_503                                   5317       2707         0         2707    <none> (D) 
    gen_tile[601].u_tile  compute_core_ti_601                                   5327       2707         0         2707    <none> (D) 
    gen_tile[633].u_tile  compute_core_ti_633                                   5317       2707         0         2707    <none> (D) 
    gen_tile[562].u_tile  compute_core_ti_562                                   5318       2707         0         2707    <none> (D) 
    gen_tile[647].u_tile  compute_core_ti_647                                   5318       2707         0         2707    <none> (D) 
    gen_tile[582].u_tile  compute_core_ti_582                                   5318       2707         0         2707    <none> (D) 
    gen_tile[800].u_tile  compute_core_ti_800                                   5327       2707         0         2707    <none> (D) 
    gen_tile[832].u_tile  compute_core_ti_832                                   5327       2707         0         2707    <none> (D) 
    gen_tile[791].u_tile  compute_core_ti_791                                   5327       2707         0         2707    <none> (D) 
    gen_tile[808].u_tile  compute_core_ti_808                                   5318       2707         0         2707    <none> (D) 
    gen_tile[514].u_tile  compute_core_ti_514                                   5318       2707         0         2707    <none> (D) 
    gen_tile[140].u_tile  compute_core_ti_140                                   5323       2707         0         2707    <none> (D) 
    gen_tile[488].u_tile  compute_core_ti_488                                   5318       2707         0         2707    <none> (D) 
    gen_tile[540].u_tile  compute_core_ti_540                                   5318       2707         0         2707    <none> (D) 
    gen_tile[318].u_tile  compute_core_ti_318                                   5324       2707         0         2707    <none> (D) 
    gen_tile[659].u_tile  compute_core_ti_659                                   5319       2707         0         2707    <none> (D) 
    gen_tile[706].u_tile  compute_core_ti_706                                   5318       2707         0         2707    <none> (D) 
    gen_tile[276].u_tile  compute_core_ti_276                                   5319       2707         0         2707    <none> (D) 
    gen_tile[213].u_tile  compute_core_ti_213                                   5318       2707         0         2707    <none> (D) 
    gen_tile[928].u_tile  compute_core_ti_928                                   5317       2707         0         2707    <none> (D) 
    gen_tile[316].u_tile  compute_core_ti_316                                   5319       2707         0         2707    <none> (D) 
    gen_tile[590].u_tile  compute_core_ti_590                                   5317       2707         0         2707    <none> (D) 
    gen_tile[559].u_tile  compute_core_ti_559                                   5317       2707         0         2707    <none> (D) 
    gen_tile[201].u_tile  compute_core_ti_201                                   5318       2707         0         2707    <none> (D) 
    gen_tile[153].u_tile  compute_core_ti_153                                   5317       2707         0         2707    <none> (D) 
    gen_tile[766].u_tile  compute_core_ti_766                                   5325       2707         0         2707    <none> (D) 
    gen_tile[940].u_tile  compute_core_ti_940                                   5317       2707         0         2707    <none> (D) 
